No.;Ticker;Company;Sector;Industry;Country;Market Cap;P/E;P/B;P/Free Cash Flow;EPS growth this year;EPS growth past 5 years;EPS growth quarter over quarter;Sales growth quarter over quarter;Shares Float;Insider Ownership;Return on Equity;Total Debt/Equity;Gross Margin;Profit Margin
399;SBUX;Starbucks Corporation;Services;Specialty Eateries;USA;13810;31.81;13.52;55.65;18.00;39.20;17.90;17.80;4610;2.20;46.60;0.34;30.80;14.60
400;SCG;SCANA Corp.;Utilities;Electric Utilities;USA;1870;9.60;1.35;-;11.80;5.90;104.40;-12.60;129.66;0.10;14.80;1.16;65.20;15.70
401;SCHW;The Charles Schwab Corporation;Financial;Investment Brokerage - National;USA;67430;35.37;3.87;219.47;23.10;7.10;-8.30;3.10;1510;0.10;11.40;9.96;98.30;19.90
402;SE;Spectra Energy Corp.;Basic Materials;Oil & Gas Pipelines;USA;85210;23.59;2.83;-;3.90;4.20;-35.50;-11.90;670.25;0.10;11.30;1.85;80.20;16.40
403;SEE;Sealed Air Corporation;Consumer Goods;Packaging & Containers;USA;90100;38.98;9.43;13.73;172.70;-2.30;39.40;-4.40;208.85;0.60;27.90;3.78;35.20;4.60
404;SHW;The Sherwin-Williams Company;Basic Materials;Specialty Chemicals;USA;34260;31.23;55.85;39.13;18.50;18.40;21.10;3.50;79.84;1.00;80.90;5.39;46.70;7.80
405;SIAL;Sigma-Aldrich Corporation;Basic Materials;Specialty Chemicals;USA;67160;33.50;5.28;42.21;2.70;8.30;-1.00;-1.90;118.94;0.30;16.00;0.09;51.40;18.00
406;SJM;The J. M. Smucker Company;Consumer Goods;Processed & Packaged Goods;USA;27130;32.15;1.72;57.34;-38.60;-4.30;-170.10;17.20;115.19;1.60;6.10;0.87;34.60;6.00
407;SLB;Schlumberger Limited;Basic Materials;Oil & Gas Equipment & Services;USA;051100;22.51;2.94;20.52;-15.50;10.60;-37.20;-8.80;2710;0.10;12.30;0.34;23.00;10.10
408;SNA;Snap-on Incorporated;Industrial Goods;Small Tools & Accessories;USA;3290;21.74;4.30;47.95;20.40;25.20;15.40;5.10;57.62;0.80;19.60;0.43;48.80;13.20
409;SNDK;SanDisk Corp.;Technology;Data Storage Devices;USA;17130;19.43;2.29;12.18;-2.50;18.80;-85.10;-11.90;207.48;0.10;11.80;0.38;44.40;12.10
410;SNI;Scripps Networks Interactive, Inc.;Services;Broadcasting - TV;USA;5680;17.09;7.43;12.84;12.60;18.20;8.00;2.30;74.06;13.10;35.60;1.57;70.30;20.20
411;SO;Southern Company;Utilities;Electric Utilities;USA;79370;17.78;1.89;-;16.60;1.10;43.60;-9.90;907.53;0.03;10.70;1.30;96.50;11.80
412;SPG;Simon Property Group Inc.;Financial;REIT - Retail;USA;65530;37.23;10.96;27.86;21.40;33.40;19.60;5.10;309.04;0.30;28.40;4.43;83.80;28.90
413;SPLS;Staples, Inc.;Services;Specialty Retail, Other;USA;14100;105.53;1.90;33.33;-80.40;-27.10;-40.00;-6.90;635.95;0.20;1.70;0.21;26.00;0.40
414;SRCL;Stericycle, Inc.;Industrial Goods;Waste Management;USA;48110;36.00;5.94;33.26;6.50;13.30;-4.40;16.40;84.01;0.90;17.20;0.82;42.30;12.20
415;SRE;Sempra Energy;Utilities;Diversified Utilities;USA;61240;18.48;2.14;-;15.50;0.50;75.80;-4.30;234.38;0.10;11.90;1.24;98.50;12.40
416;STI;SunTrust Banks, Inc.;Financial;Money Center Banks;USA;62220;13.36;1.04;-;34.00;23.00;6.80;-4.80;515.32;0.20;8.00;0.59;-;32.70
417;STJ;St. Jude Medical Inc.;Healthcare;Medical Appliances & Equipment;USA;99200;21.27;5.50;26.91;39.00;8.90;5.80;-1.30;274.29;2.40;25.20;0.91;71.30;18.10
418;STT;State Street Corporation;Financial;Asset Management;USA;38320;16.88;1.72;-;-1.10;5.70;11.10;-3.00;409.12;1.10;10.10;0.49;-;75.60
419;STX;Seagate Technology Public Limited Company;Technology;Data Storage Devices;Ireland;09160;8.82;5.13;9.54;-6.00;22.00;-24.80;-2.20;302.04;0.20;60.70;1.23;28.10;13.60
420;STZ;Constellation Brands Inc.;Consumer Goods;Beverages - Wineries & Distillers;USA;99220;30.72;3.95;63.57;-57.50;55.60;35.70;5.00;166.22;1.00;15.10;1.27;43.80;13.90
421;SWK;Stanley Black & Decker, Inc.;Industrial Goods;Machine Tools & Accessories;USA;25160;19.65;2.86;25.08;63.70;13.80;0.00;0.50;152.77;0.90;11.70;0.79;36.30;6.70
